Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Splice_Site,Translation_Start_Site,total,MutatedSamples,AlteredSamples,log_difference
ALMS1,18,8,3,1,601,57,0,2,0,690,493,493,8.68103348247397
VPS13A,39,9,4,0,442,47,0,21,0,562,386,386,8.67521937171694
CENPF,21,5,3,0,448,70,0,6,0,553,379,379,8.66732111544696
PAPPA2,18,3,0,0,773,51,0,10,0,855,638,638,8.65708198823322
REV3L,36,12,0,0,449,45,0,15,0,557,383,383,8.65406762869808
PRUNE2,13,3,3,4,639,50,0,4,0,716,519,519,8.62763281134497
MYO3A,17,15,1,0,509,46,0,16,0,604,424,424,8.62137230667535
ANKRD30A,12,7,3,0,541,67,0,31,0,661,473,473,8.61005928042378
C12orf55,15,3,0,1,429,36,0,19,0,503,341,341,8.60677360921551
PTPRZ1,17,8,1,0,519,38,0,16,0,599,422,422,8.5838292304472
FBN1,8,2,1,0,542,50,0,24,0,627,446,446,8.57915748614957
MYH2,11,3,0,0,636,59,0,23,1,733,538,538,8.56944519233512
DYNC1H1,20,8,4,1,574,44,0,16,0,667,481,481,8.56692042426559
PIK3CA,1,2,44,0,1587,11,1,3,4,1653,1398,1398,8.56475461167528
MAP1B,15,10,2,0,413,38,0,4,0,482,326,326,8.56061595819778
SCN10A,20,8,0,0,574,47,0,14,1,664,479,479,8.55823376407283
SPEN,47,13,4,0,502,64,0,2,0,632,452,452,8.55142438784353
COL12A1,23,9,1,0,619,58,0,20,0,730,537,537,8.54774068699833
LAMA1,18,5,3,0,694,45,0,18,0,783,584,584,8.54276040476463
DNAH12,17,3,1,0,251,28,0,6,0,306,188,188,8.53177971600133
DNAH1,10,2,3,0,573,29,0,24,0,641,461,461,8.53123014139565
KMT2B,99,19,7,0,433,52,1,16,0,627,449,449,8.53117646858187
BAI3,16,5,0,0,616,59,0,21,0,717,527,527,8.52930177498556
PEG3,17,3,0,0,673,49,0,3,0,745,552,552,8.52344512886619
FREM1,15,5,2,0,499,30,0,11,1,563,396,396,8.50746496471436
MYO18B,21,2,0,0,612,30,0,12,1,678,496,496,8.48674201147886
RP1L1,24,3,2,1,610,37,0,1,0,678,496,496,8.48674201147886
F5,9,7,5,0,496,42,1,12,0,572,405,405,8.48304693158566
SCN11A,29,8,2,0,523,47,0,15,0,624,450,450,8.47456804411038
TACC2,18,6,2,1,518,28,0,9,0,582,414,414,8.47453647046924
FBN2,35,11,1,0,643,51,0,21,0,762,571,571,8.47293154366271
USP34,27,9,6,1,494,59,0,16,0,612,440,440,8.46930787221243
ASH1L,35,15,3,0,460,44,0,7,1,565,400,400,8.46647051607053
DMBT1,10,1,1,1,508,39,0,10,0,570,406,406,8.43601851158197
SRRM2,14,5,16,0,507,34,0,3,0,579,414,414,8.43085329278641
DCC,8,3,0,0,599,73,0,21,0,704,523,523,8.42847064199238
LRRIQ1,24,17,0,0,442,64,0,13,1,561,399,399,8.42408925044506
OTOGL,13,2,0,0,543,46,0,9,0,613,444,444,8.41918814181961
RANBP2,25,8,2,0,473,51,0,14,0,573,410,410,8.41135100464961
COL7A1,38,7,5,0,520,34,0,32,0,636,466,466,8.38855237741935
TNXB,14,1,1,0,551,26,0,5,0,598,433,433,8.38725319028185
ANKRD30B,7,6,0,0,344,57,0,11,0,425,287,287,8.38591708730933
ARID1A,285,89,4,1,302,311,0,31,0,1023,819,819,8.38048637372923
ZNF292,56,29,1,0,400,67,0,0,0,553,395,395,8.37397989575627
NRXN1,11,7,0,0,621,56,1,13,0,709,532,532,8.36742798822102
TRRAP,20,7,1,0,630,20,0,5,0,683,509,509,8.36562382252583
TRPM6,10,2,0,0,473,49,0,16,0,550,393,393,8.36384987306327
FRAS1,20,4,1,1,639,53,2,22,0,742,562,562,8.36173217807767
F8,31,16,0,0,486,49,0,8,0,590,428,428,8.35574668730731
DMXL1,24,7,4,0,419,50,0,11,0,515,364,364,8.34738224476644
SZT2,32,5,2,0,453,58,0,14,0,564,406,406,8.34721831672321
PTPRB,19,16,1,0,515,51,0,18,0,620,455,455,8.3427374547229
SMG1,18,9,4,0,419,44,0,12,0,506,357,357,8.33487308436626
MYH1,14,2,1,0,599,55,0,15,0,686,515,515,8.32005677887447
COL22A1,22,3,0,0,629,46,1,48,0,749,572,572,8.31610734583801
C1orf173,18,8,2,0,627,55,0,13,0,723,549,549,8.30978308771907
MAGEC1,15,4,1,0,585,33,0,2,0,640,475,475,8.30708931938549
COL5A1,22,8,1,0,524,24,0,24,0,603,443,443,8.29747677459736
SPHKAP,9,2,1,0,639,50,0,5,1,707,536,536,8.29141912839136
DCHS1,23,6,1,0,510,37,0,5,0,582,425,425,8.29102046947947
BRWD3,14,4,0,0,431,65,0,17,0,531,381,381,8.28613738364853
CEP290,51,9,1,0,304,53,0,9,0,427,293,293,8.28289611144579
MROH2B,19,13,0,0,595,59,0,14,0,700,531,531,8.2742946187178
SAMD9L,17,8,0,0,409,45,0,0,1,480,338,338,8.27360961994857
CNTNAP5,15,3,1,0,639,58,0,13,0,729,559,559,8.25235405248405
DYSF,22,6,2,1,531,45,0,24,0,631,471,471,8.24852174077385
LAMA3,22,8,1,0,523,36,1,16,0,607,450,450,8.2436903890625
FLNA,19,10,1,0,492,25,1,9,0,557,406,406,8.24361808938799
FLNC,20,5,1,0,594,27,0,18,0,665,502,502,8.24042323329945
COL6A5,23,4,0,0,367,47,0,4,1,446,311,311,8.2359466937718
UNC80,9,2,3,0,351,39,0,13,0,417,287,287,8.22806453037174
FREM2,6,5,4,0,622,38,0,12,0,687,523,523,8.22494223160336
TAF1L,18,4,1,0,576,37,0,0,1,637,478,478,8.22463029403923
CDH10,41,18,1,0,561,32,1,12,1,667,506,506,8.21030995927929
SPEF2,21,10,2,0,453,50,0,15,0,551,403,403,8.2054084311578
SCN2A,9,4,0,0,547,29,0,7,0,596,443,443,8.20115449031514
SYCP2,26,9,3,0,311,45,0,18,0,412,284,284,8.20008993757283
PKD1L1,16,3,0,1,548,25,0,15,0,608,454,454,8.19634544211933
DNHD1,15,2,1,1,407,32,0,1,0,459,324,324,8.19375234163379
SCN9A,22,6,0,0,504,38,1,13,0,584,433,433,8.19089609218161
WDFY3,30,14,3,0,511,59,0,23,0,640,484,484,8.17738696322312
SCN1A,14,6,3,0,548,61,0,18,1,651,494,494,8.17645162638101
PKDREJ,5,5,2,0,352,25,0,0,0,389,266,266,8.17082604555525
HIVEP2,19,9,2,0,391,40,1,0,0,462,328,328,8.16395939284635
SETX,20,5,5,1,390,38,0,3,0,462,328,328,8.16395939284635
KMT2A,44,17,2,0,491,78,0,9,0,641,486,486,8.16188745451839
CHD7,20,8,1,1,520,50,0,8,1,609,458,458,8.14976327058269
VWF,14,7,2,0,529,35,0,13,0,600,450,450,8.1486231193369
SPEG,35,11,4,0,474,42,0,7,0,573,426,426,8.14680103187794
TOPAZ1,8,3,0,0,147,15,0,2,0,175,99,99,8.14045234896885
FRYL,16,5,5,0,404,44,0,13,0,487,351,351,8.1355794373683
CACNA1D,21,4,5,0,401,36,1,13,0,481,346,346,8.131575777903
MYO15A,18,3,4,0,538,30,0,20,1,614,464,464,8.12760984273844
HECTD4,21,9,4,0,526,40,0,19,0,619,469,469,8.1205576503664
CNTNAP2,9,4,1,0,613,41,1,19,0,688,532,532,8.11959161621447
ABCA6,11,5,0,0,317,44,0,19,0,396,274,274,8.1176691776495
ALPK2,33,10,0,0,443,35,0,0,0,521,382,382,8.1123723281757
BSN,27,12,1,2,577,28,0,2,0,649,497,497,8.11001901406237
NIPBL,64,14,7,0,426,53,0,22,0,586,440,440,8.10950067502694
PLXNA4,17,4,1,0,607,20,0,13,0,662,509,509,8.10840844877321
KALRN,17,5,0,0,545,31,0,9,1,608,460,460,8.10675219596079
POLE,17,6,2,1,423,18,0,17,0,484,350,350,8.10463009187851
ITPR2,24,18,0,0,412,55,0,16,1,526,387,387,8.1020382652244
USP9X,34,19,4,0,399,53,0,17,0,526,387,387,8.1020382652244
FLG2,15,3,2,2,622,47,0,2,0,693,538,538,8.10180834691438
ZNF831,21,4,0,0,556,28,1,5,0,615,468,468,8.08252286879159
PKD1,12,3,2,0,445,21,0,4,0,487,354,354,8.07830893636872
ANKRD11,26,10,10,1,424,32,0,1,0,504,369,369,8.07697971501812
BOD1L1,22,3,3,0,444,34,0,6,0,512,377,377,8.06012156009875
DOCK2,13,3,0,0,546,43,0,20,0,625,479,479,8.05556641949626
MYH8,8,5,2,0,557,37,0,18,0,627,481,481,8.0531620779828
DOCK3,108,4,0,0,402,26,0,15,0,555,416,416,8.04894916610177
CEP350,31,7,3,0,401,51,0,8,0,501,368,368,8.04703564854431
CREBBP,45,14,8,0,466,66,0,22,0,621,476,476,8.04627676647408
ITPR1,12,2,0,0,443,27,0,9,0,493,361,361,8.04592963000029
SCN5A,11,3,0,0,526,33,0,5,0,578,437,437,8.04467398214551
MYH13,8,3,0,0,494,41,0,12,0,558,419,419,8.04406236012601
ADAMTS20,10,3,0,0,544,56,0,10,0,623,478,478,8.04386918867573
HSPG2,19,7,2,0,548,37,0,12,0,625,480,480,8.04149384128354
LAMA5,15,8,2,0,487,27,0,16,0,555,417,417,8.03283500012288
TENM2,15,0,0,0,561,22,0,4,0,602,460,460,8.0267513519217
SAMD9,11,5,0,0,401,37,0,0,0,454,328,328,8.02259213063256
GPR179,17,10,3,0,397,40,0,4,0,471,343,343,8.02023971027076
MAP3K19,4,3,1,0,318,40,0,3,1,370,256,256,8.02014902895012
MGA,46,18,4,0,403,95,0,9,0,575,436,436,8.01826052105496
ZNF804A,12,4,2,0,541,63,0,2,0,624,481,481,8.01463020201159
COL14A1,13,5,1,0,458,40,0,20,0,537,402,402,8.01350481036161
SRCAP,37,25,4,0,489,42,0,5,0,602,461,461,8.01216933716097
COL6A6,13,5,2,1,571,38,0,15,0,645,501,501,8.00598219002229
EP400,14,5,2,2,462,26,0,14,0,525,392,392,8.00063787303919
CHD9,23,12,3,0,357,44,0,8,0,447,323,323,7.99997632061663
GRIN2A,14,8,1,0,571,26,0,7,0,627,485,485,7.99742846842394
COL4A4,10,3,1,0,482,30,0,22,0,548,413,413,7.99558003306603
C5orf42,36,13,2,0,377,40,0,14,0,482,354,354,7.99536941956822
SETD2,55,24,1,0,382,99,0,19,0,580,443,443,7.98098926909862
ZNF536,11,8,0,0,649,34,0,3,1,706,560,560,7.97996957017683
MYH4,21,2,3,0,510,52,0,16,1,605,466,466,7.97967639675898
FMN2,22,2,6,0,641,34,0,5,0,710,564,564,7.97720969701059
PPP1R3A,11,8,0,0,460,54,1,1,0,535,403,403,7.96713885783924
RIF1,27,15,4,1,347,33,0,9,0,436,315,315,7.96667811150442
BDP1,24,6,0,1,335,34,0,6,0,406,289,289,7.96529984335672
NSD1,56,17,2,0,399,72,0,12,0,558,424,424,7.96477772702789
RGPD3,6,2,3,0,327,49,0,4,1,392,277,277,7.9639981103492
CNOT1,25,6,3,1,384,43,0,12,2,476,351,351,7.95181891619571
CHL1,1,3,0,1,410,41,0,23,0,479,354,354,7.94560570948792
KIAA0947,18,12,1,0,405,49,0,5,0,490,364,364,7.94216951443797
DOCK10,17,2,0,0,426,43,0,8,0,496,370,370,7.93090871095483
C2orf16,2,3,2,0,375,34,0,0,2,418,301,301,7.93009466200231
DOCK11,19,9,2,0,376,37,0,19,0,462,340,340,7.92449913089701
PLCE1,12,0,3,0,413,51,0,11,0,490,365,365,7.92408310511416
SDK1,19,2,1,0,573,35,0,18,0,648,510,510,7.92385783225882
STAB2,16,5,0,0,531,36,1,17,0,606,471,471,7.92171818527568
ZAN,19,1,0,0,552,36,0,8,0,616,481,481,7.91187853275503
PTPRT,18,2,1,0,571,52,0,20,0,664,526,526,7.91144708028795
LRRC7,13,10,0,0,534,40,0,23,0,620,485,485,7.90814298313053
BCLAF1,9,1,8,0,447,47,0,3,1,516,390,390,7.89705923321141
GOLGA4,17,9,1,0,273,46,0,4,0,350,244,244,7.89114907250268
FN1,17,6,0,0,443,39,0,19,0,524,398,398,7.88496427751329
ATR,24,10,1,0,394,43,0,20,0,492,369,369,7.88467067418436
CHD8,25,12,3,2,372,53,0,16,0,483,361,361,7.8827261892295
EML6,13,4,1,0,182,18,0,5,0,223,140,140,7.8826675396738
KIAA1210,5,3,1,0,405,28,0,4,0,446,328,328,7.88122486841877
NALCN,17,3,0,0,541,35,0,26,0,622,489,489,7.87918231751964
NCKAP5,11,4,0,0,497,34,0,7,0,553,425,425,7.87789401996932
MYO16,19,3,1,0,464,33,0,11,0,531,405,405,7.87499636481116
KIAA1217,29,11,2,1,409,25,0,5,0,482,361,361,7.86640584515241
TENM4,11,7,1,0,514,28,0,4,0,565,437,437,7.86373840815261
MUC2,18,1,0,0,427,17,0,12,0,475,355,355,7.86082280888652
RIMS2,20,4,2,0,525,53,0,11,0,615,484,484,7.85795778497222
RNF17,13,2,0,0,335,39,0,17,0,406,294,294,7.85344215875499
SCN7A,20,11,0,0,407,46,1,5,0,490,369,369,7.85261916737873
ADAMTS12,16,13,1,0,555,39,0,15,1,640,508,508,7.85190301297704
UTP20,17,10,1,0,382,30,0,4,0,444,328,328,7.84588305286532
ARAP2,13,2,2,0,328,47,0,17,0,409,297,297,7.84549237703943
PTPN13,15,3,1,0,352,53,1,12,0,437,322,322,7.84109958151646
PCNT,15,6,1,0,471,33,0,7,0,533,409,409,7.84012656752866
PCDH11X,6,3,1,0,570,38,0,2,1,621,491,491,7.83962379417866
CCDC147,7,5,0,0,247,36,0,3,0,298,202,202,7.83829396908145
ABCA1,21,4,2,0,350,24,0,11,0,412,300,300,7.83776476358846
IGHV2-70,4,1,0,0,117,3,0,2,3,130,71,71,7.83051542918433
RGS22,18,10,2,0,307,42,0,12,0,391,282,282,7.82755225878903
AKAP6,22,8,3,0,435,59,0,8,0,535,412,412,7.82170985979163
NPAP1,14,2,1,0,594,17,0,0,0,628,499,499,7.82119015192212
MAP1A,29,8,4,1,416,30,0,0,0,488,369,369,7.82056766057311
CACNA1C,16,2,2,0,513,27,0,19,1,580,454,454,7.81888216517963
TAF1,11,2,3,1,427,26,0,10,0,480,362,362,7.8157827636661
MYH7,13,0,3,0,523,34,0,15,1,589,463,463,7.81078186017552
HIVEP1,20,8,0,0,390,40,0,2,3,463,347,347,7.80855835197574
ACAN,15,4,2,0,512,12,0,5,0,550,427,427,7.80449123552691
DNAJC13,12,2,2,1,319,29,0,18,2,385,278,278,7.79862063309793
SCAND3,7,6,0,0,381,32,0,1,2,429,317,317,7.79785502590756
FBN3,32,4,1,0,519,30,0,20,0,606,480,480,7.79703242850852
TRIO,34,8,0,0,444,34,0,10,0,530,409,409,7.79599827540374
PXDNL,7,2,0,0,583,46,0,8,0,646,519,519,7.78414915660454
SALL1,12,5,4,0,478,17,0,0,0,516,397,397,7.7808796844503
FRMPD1,6,2,1,0,364,28,0,1,1,403,295,295,7.77360969522914
WNK3,12,2,2,0,352,45,0,10,0,423,313,313,7.76994643143511
TRIOBP,23,8,1,1,398,43,0,3,0,477,362,362,7.76693412139319
HRNR,6,1,2,2,569,57,0,0,0,637,512,512,7.76378069018316
PRRC2C,24,2,2,0,340,31,0,9,0,408,300,300,7.76166996005847
SORL1,20,1,1,0,407,22,0,19,0,470,356,356,7.75993207145065
SLIT2,15,3,2,1,482,31,0,16,0,550,430,430,7.75897546408619
ABCB1,23,3,3,0,404,35,0,16,0,484,369,369,7.75646464696185
CENPE,15,4,1,0,388,41,0,15,0,464,351,351,7.75135289309834
LRBA,25,3,0,0,391,37,1,19,0,476,362,362,7.75065124063555
TTC3,25,8,0,0,303,34,0,16,0,386,281,281,7.75009298712495
SPAG17,27,9,5,0,468,42,0,11,0,562,442,442,7.74793260354155
PREX2,10,7,2,0,512,35,0,18,0,584,463,463,7.74447641144737
FLNB,33,16,1,1,398,19,0,13,0,481,367,367,7.7432912622868
NRK,19,5,0,0,365,45,0,13,0,447,336,336,7.74278889841519
CACNA1S,9,3,3,0,435,21,0,12,0,483,369,369,7.74043889355904
CELSR3,23,4,2,0,431,25,0,11,0,496,381,381,7.73997013613874
PTPRQ,8,5,1,0,179,25,0,7,0,225,145,145,7.73318268885776
KIF20B,33,4,0,0,263,30,0,6,0,336,238,238,7.73147795566802
FNDC1,8,3,0,0,445,25,0,9,0,490,376,376,7.73085144108916
MYH15,19,2,2,0,419,35,0,12,1,490,376,376,7.73085144108916
CELSR2,15,4,6,0,400,14,0,4,0,443,333,333,7.73073711678282
PDZD2,20,11,3,0,500,28,1,5,0,568,449,449,7.72840228732775
THSD7A,14,6,2,0,452,50,0,12,0,536,419,419,7.72691294807803
CRB1,10,5,1,0,497,32,0,10,1,556,438,438,7.7237024513009
ANK1,15,4,2,0,456,20,0,13,0,510,395,395,7.72283860187287
CACNA1B,9,2,0,0,465,14,0,20,0,510,395,395,7.72283860187287
ARFGEF1,20,5,3,0,293,41,0,10,0,372,270,270,7.7184748198787
STAB1,38,9,1,1,389,28,0,24,0,490,377,377,7.71378821181326
CUL9,17,2,2,0,371,24,0,9,0,425,318,318,7.70505100214956
ABCC9,15,9,1,0,405,22,0,17,3,472,361,361,7.70320240438162
CELSR1,44,6,1,0,436,20,0,8,0,515,401,401,7.70117911630622
LCT,20,1,3,0,463,22,0,5,1,515,401,401,7.70117911630622
FAM83B,5,2,1,0,349,39,0,0,1,397,293,293,7.70095961649644
ARID2,62,9,3,1,314,108,0,24,0,521,407,407,7.69501277116601
ZNF91,5,2,1,0,334,31,0,1,1,375,274,274,7.68718672125899
