Hugo_Symbol	project_id	altered	total	Missense_Mutation	Frame_Shift_Del	Nonsense_Mutation	Splice_Site	In_Frame_Del	Frame_Shift_Ins	Translation_Start_Site	Nonstop_Mutation	In_Frame_Ins	log_difference	GO_Cellular_Component
ABCB10	BRCA	9	10	7	1	1	0	0	0	0	0	0	2.5584278811045	GO:0016020: membrane & GO:0005739: mitochondrion
ABCB11	BRCA	15	18	10	1	4	0	0	0	0	0	0	3.32710646668774	GO:0016020: membrane & GO:0005886: plasma membrane
ABCB4	BRCA	15	17	9	2	3	0	1	0	0	0	0	3.14226721853842	GO:0016020: membrane & GO:0005737: cytoplasm
ABCB5	BRCA	9	10	8	1	0	0	0	0	0	0	0	2.5584278811045	GO:0016020: membrane & GO:0005886: plasma membrane
ABCB6	BRCA	8	8	6	1	1	0	0	0	0	0	0	2.19722457733622	GO:0016020: membrane & GO:0005576: extracellular region
ABCB7	BRCA	7	7	7	0	0	0	0	0	0	0	0	2.07944154167984	GO:0016020: membrane & GO:0005739: mitochondrion
ABCB8	BRCA	9	9	9	0	0	0	0	0	0	0	0	2.30258509299405	GO:0016020: membrane & GO:0005654: nucleoplasm
ABCB9	BRCA	2	2	2	0	0	0	0	0	0	0	0	1.09861228866811	GO:0016020: membrane & GO:0005765: lysosomal membrane
ABCC1	BRCA	10	11	7	2	1	0	0	0	0	0	0	2.63768480007821	GO:0016020: membrane & GO:0005886: plasma membrane
ABCC10	BRCA	12	13	11	1	0	0	0	0	0	0	0	2.77869513725	GO:0016020: membrane & GO:0005886: plasma membrane
ABCC11	BRCA	7	7	7	0	0	0	0	0	0	0	0	2.07944154167984	GO:0016020: membrane & GO:0005886: plasma membrane
ABCC12	BRCA	12	12	11	1	0	0	0	0	0	0	0	2.56494935746154	GO:0016020: membrane & GO:0005783: endoplasmic reticulum
ABCC2	BRCA	8	10	8	0	0	0	0	0	0	0	0	2.74653072167027	GO:0016020: membrane & GO:0005886: plasma membrane
ABCC3	BRCA	9	9	7	2	0	0	0	0	0	0	0	2.30258509299405	GO:0016020: membrane & GO:0005886: plasma membrane
ABCC4	BRCA	12	12	11	1	0	0	0	0	0	0	0	2.56494935746154	GO:0016020: membrane & GO:0005886: plasma membrane
ABCC5	BRCA	11	12	8	1	1	1	0	0	0	0	0	2.71080725431418	GO:0016020: membrane & GO:0005886: plasma membrane
ABCC6	BRCA	6	6	5	1	0	0	0	0	0	0	0	1.94591014905531	GO:0016020: membrane & GO:0005886: plasma membrane
ABCC8	BRCA	13	14	11	1	0	1	0	0	0	0	0	2.84206173958566	GO:0016020: membrane & GO:0005886: plasma membrane
ABCC9	BRCA	19	19	15	2	0	1	0	1	0	0	0	2.99573227355399	GO:0016020: membrane & GO:0005886: plasma membrane
ABCD1	BRCA	4	4	2	1	1	0	0	0	0	0	0	1.6094379124341	GO:0016020: membrane & GO:0005777: peroxisome
ABCD2	BRCA	4	4	3	0	1	0	0	0	0	0	0	1.6094379124341	GO:0016020: membrane & GO:0005777: peroxisome
ABCD3	BRCA	6	6	5	0	0	1	0	0	0	0	0	1.94591014905531	GO:0016020: membrane & GO:0005777: peroxisome
ABCD4	BRCA	1	1	0	0	0	1	0	0	0	0	0	0.693147180559945	GO:0016020: membrane & GO:0005783: endoplasmic reticulum
ABCE1	BRCA	7	7	6	0	1	0	0	0	0	0	0	2.07944154167984	GO:0005737: cytoplasm & GO:0005737: cytoplasm
ABCF1	BRCA	7	8	7	0	0	0	0	0	0	0	0	2.37650461906267	GO:0005634: nucleus & GO:0005737: cytoplasm
ABCF2	BRCA	6	6	5	0	0	0	0	1	0	0	0	1.94591014905531	GO:0005886: plasma membrane
ABCF3	BRCA	5	5	5	0	0	0	0	0	0	0	0	1.79175946922805	NA
ABCG1	BRCA	5	5	5	0	0	0	0	0	0	0	0	1.79175946922805	GO:0016020: membrane & GO:0005886: plasma membrane
ABCG2	BRCA	4	4	2	1	0	1	0	0	0	0	0	1.6094379124341	GO:0016020: membrane & GO:0005886: plasma membrane
ABCG4	BRCA	2	2	2	0	0	0	0	0	0	0	0	1.09861228866811	GO:0016020: membrane & GO:0005886: plasma membrane
ABCG5	BRCA	4	4	4	0	0	0	0	0	0	0	0	1.6094379124341	GO:0016020: membrane & GO:0005886: plasma membrane
ABCG8	BRCA	4	4	4	0	0	0	0	0	0	0	0	1.6094379124341	GO:0016020: membrane & GO:0005886: plasma membrane
ABHD1	BRCA	2	2	1	1	0	0	0	0	0	0	0	1.09861228866811	GO:0016020: membrane
ABHD11	BRCA	1	1	1	0	0	0	0	0	0	0	0	0.693147180559945	GO:0005739: mitochondrion & GO:0005739: mitochondrion
ABHD12	BRCA	2	3	1	0	0	1	0	0	0	0	0	1.64791843300216	GO:0016020: membrane & GO:0005783: endoplasmic reticulum
ABHD13	BRCA	5	5	5	0	0	0	0	0	0	0	0	1.79175946922805	GO:0016020: membrane & GO:0005737: cytoplasm
ABHD14A	BRCA	1	1	1	0	0	0	0	0	0	0	0	0.693147180559945	GO:0005737: cytoplasm & GO:0016020: membrane
ABHD15	BRCA	4	4	4	0	0	0	0	0	0	0	0	1.6094379124341	GO:0005576: extracellular region
ABHD16A	BRCA	5	5	3	2	0	0	0	0	0	0	0	1.79175946922805	GO:0016020: membrane
ABHD16B	BRCA	2	2	2	0	0	0	0	0	0	0	0	1.09861228866811	GO:0005654: nucleoplasm
ABHD17A	BRCA	2	2	2	0	0	0	0	0	0	0	0	1.09861228866811	GO:0016607: nuclear speck & GO:0005886: plasma membrane
ABHD17C	BRCA	1	1	1	0	0	0	0	0	0	0	0	0.693147180559945	GO:0005886: plasma membrane & GO:0042995: cell projection
ABHD2	BRCA	5	5	5	0	0	0	0	0	0	0	0	1.79175946922805	GO:0005886: plasma membrane & GO:0016020: membrane
ABHD3	BRCA	2	2	1	0	1	0	0	0	0	0	0	1.09861228866811	GO:0016020: membrane & GO:0005886: plasma membrane
ABHD4	BRCA	3	3	2	0	0	1	0	0	0	0	0	1.38629436111989	GO:0005789: endoplasmic reticulum membrane
ABHD6	BRCA	4	4	2	1	0	0	1	0	0	0	0	1.6094379124341	GO:0016020: membrane & GO:0005739: mitochondrion
ABHD8	BRCA	1	1	1	0	0	0	0	0	0	0	0	0.693147180559945	NA
ABI1	BRCA	4	4	4	0	0	0	0	0	0	0	0	1.6094379124341	GO:0005634: nucleus & GO:0005737: cytoplasm
ABI2	BRCA	5	5	5	0	0	0	0	0	0	0	0	1.79175946922805	GO:0005634: nucleus & GO:0005737: cytoplasm
ABI3	BRCA	1	1	1	0	0	0	0	0	0	0	0	0.693147180559945	GO:0005737: cytoplasm & GO:0005737: cytoplasm
ABI3BP	BRCA	13	14	10	2	1	0	0	0	0	0	0	2.84206173958566	GO:0005614: interstitial matrix & GO:0031012: extracellular matrix
ABL1	BRCA	8	8	4	2	0	1	0	1	0	0	0	2.19722457733622	GO:0005634: nucleus & GO:0005634: nucleus
ABL2	BRCA	11	12	9	2	0	0	0	0	0	0	0	2.71080725431418	GO:0005737: cytoplasm & GO:0005856: cytoskeleton
ABLIM1	BRCA	6	6	4	1	1	0	0	0	0	0	0	1.94591014905531	GO:0005737: cytoplasm & GO:0005856: cytoskeleton
ABLIM2	BRCA	3	4	3	0	0	0	0	0	0	0	0	1.84839248149319	GO:0005737: cytoplasm & GO:0015629: actin cytoskeleton
ABLIM3	BRCA	6	6	4	1	1	0	0	0	0	0	0	1.94591014905531	GO:0005737: cytoplasm & GO:0001725: stress fiber
ABR	BRCA	9	10	6	2	0	1	0	0	0	0	0	2.5584278811045	GO:0042995: cell projection & GO:0030424: axon
ABRA	BRCA	5	5	5	0	0	0	0	0	0	0	0	1.79175946922805	GO:0005737: cytoplasm & GO:0005856: cytoskeleton
ABT1	BRCA	5	5	4	0	1	0	0	0	0	0	0	1.79175946922805	GO:0005634: nucleus & GO:0005730: nucleolus
ABTB1	BRCA	2	3	0	1	0	0	1	0	0	0	0	1.64791843300216	GO:0005737: cytoplasm & GO:0005829: cytosol
ABTB2	BRCA	8	8	5	0	2	1	0	0	0	0	0	2.19722457733622	NA
AC002310.13	BRCA	1	1	0	0	1	0	0	0	0	0	0	0.693147180559945	NA
AC002472.13	BRCA	1	1	1	0	0	0	0	0	0	0	0	0.693147180559945	NA
AC003002.6	BRCA	3	3	3	0	0	0	0	0	0	0	0	1.38629436111989	NA
AC004076.7	BRCA	1	1	0	0	1	0	0	0	0	0	0	0.693147180559945	NA
AC004381.6	BRCA	7	8	4	1	2	0	0	0	0	0	0	2.37650461906267	NA
AC005549.3	BRCA	1	1	1	0	0	0	0	0	0	0	0	0.693147180559945	NA
AC005609.1	BRCA	1	1	1	0	0	0	0	0	0	0	0	0.693147180559945	NA
AC006486.9	BRCA	5	5	4	0	1	0	0	0	0	0	0	1.79175946922805	NA
AC008060.7	BRCA	1	1	1	0	0	0	0	0	0	0	0	0.693147180559945	NA
AC008132.13	BRCA	1	1	1	0	0	0	0	0	0	0	0	0.693147180559945	NA
AC008271.1	BRCA	1	1	1	0	0	0	0	0	0	0	0	0.693147180559945	NA
AC009365.3	BRCA	2	2	2	0	0	0	0	0	0	0	0	1.09861228866811	NA
AC010441.1	BRCA	1	1	1	0	0	0	0	0	0	0	0	0.693147180559945	NA
AC011530.4	BRCA	1	1	1	0	0	0	0	0	0	0	0	0.693147180559945	NA
AC018755.1	BRCA	1	1	1	0	0	0	0	0	0	0	0	0.693147180559945	NA
AC022400.2	BRCA	4	4	4	0	0	0	0	0	0	0	0	1.6094379124341	NA
AC026310.1	BRCA	1	1	1	0	0	0	0	0	0	0	0	0.693147180559945	NA
AC026703.1	BRCA	1	1	0	0	1	0	0	0	0	0	0	0.693147180559945	NA
AC040160.1	BRCA	1	1	1	0	0	0	0	0	0	0	0	0.693147180559945	NA
AC040977.1	BRCA	1	1	1	0	0	0	0	0	0	0	0	0.693147180559945	NA
AC068987.1	BRCA	1	1	0	0	0	0	0	1	0	0	0	0.693147180559945	NA
AC079354.1	BRCA	1	1	1	0	0	0	0	0	0	0	0	0.693147180559945	NA
AC079612.1	BRCA	2	2	2	0	0	0	0	0	0	0	0	1.09861228866811	NA
AC104534.3	BRCA	1	1	1	0	0	0	0	0	0	0	0	0.693147180559945	NA
AC117834.1	BRCA	1	1	1	0	0	0	0	0	0	0	0	0.693147180559945	NA
AC129492.6	BRCA	1	1	1	0	0	0	0	0	0	0	0	0.693147180559945	NA
AC135048.1	BRCA	1	1	1	0	0	0	0	0	0	0	0	0.693147180559945	NA
AC136604.1	BRCA	4	4	3	0	1	0	0	0	0	0	0	1.6094379124341	NA
AC140481.2	BRCA	1	1	1	0	0	0	0	0	0	0	0	0.693147180559945	NA
AC142381.1	BRCA	1	1	1	0	0	0	0	0	0	0	0	0.693147180559945	NA
ACAA1	BRCA	1	1	0	1	0	0	0	0	0	0	0	0.693147180559945	GO:0005777: peroxisome & GO:0005777: peroxisome
ACAA2	BRCA	4	4	3	0	1	0	0	0	0	0	0	1.6094379124341	GO:0005739: mitochondrion & GO:0005739: mitochondrion
ACACA	BRCA	16	17	14	0	2	0	0	0	0	0	0	3.01028917805973	GO:0005737: cytoplasm & GO:0001650: fibrillar center
ACACB	BRCA	12	13	11	0	0	1	0	0	0	0	0	2.77869513725	GO:0005634: nucleus & GO:0005739: mitochondrion
ACAD10	BRCA	8	8	8	0	0	0	0	0	0	0	0	2.19722457733622	GO:0005739: mitochondrion & GO:0005759: mitochondrial matrix
ACAD11	BRCA	7	7	7	0	0	0	0	0	0	0	0	2.07944154167984	GO:0005634: nucleus & GO:0016020: membrane
ACAD8	BRCA	2	2	1	0	1	0	0	0	0	0	0	1.09861228866811	GO:0005739: mitochondrion & GO:0005759: mitochondrial matrix
ACAD9	BRCA	5	5	5	0	0	0	0	0	0	0	0	1.79175946922805	GO:0005739: mitochondrion & GO:0005743: mitochondrial inner membrane
ACADL	BRCA	3	4	3	0	0	0	0	0	0	0	0	1.84839248149319	GO:0005739: mitochondrion & GO:0005759: mitochondrial matrix
ACADS	BRCA	1	1	1	0	0	0	0	0	0	0	0	0.693147180559945	GO:0005654: nucleoplasm & GO:0005739: mitochondrion
ACADSB	BRCA	6	6	5	1	0	0	0	0	0	0	0	1.94591014905531	GO:0005739: mitochondrion & GO:0005739: mitochondrion
ACADVL	BRCA	3	3	3	0	0	0	0	0	0	0	0	1.38629436111989	GO:0005654: nucleoplasm & GO:0005739: mitochondrion
ACAN	BRCA	11	11	7	2	1	1	0	0	0	0	0	2.484906649788	GO:0005576: extracellular region & GO:0012505: endomembrane system
ACAP1	BRCA	4	4	4	0	0	0	0	0	0	0	0	1.6094379124341	GO:0005737: cytoplasm & GO:0016020: membrane
ACAP2	BRCA	4	4	1	2	1	0	0	0	0	0	0	1.6094379124341	GO:0005737: cytoplasm & GO:0016020: membrane
ACAP3	BRCA	4	5	4	0	0	0	0	0	0	0	0	2.01179739054263	GO:0005737: cytoplasm & GO:0030426: growth cone
ACAT1	BRCA	4	4	3	1	0	0	0	0	0	0	0	1.6094379124341	GO:0005739: mitochondrion & GO:0005739: mitochondrion
ACBD3	BRCA	6	6	5	1	0	0	0	0	0	0	0	1.94591014905531	GO:0016020: membrane & GO:0005794: Golgi apparatus
ACBD4	BRCA	3	3	3	0	0	0	0	0	0	0	0	1.38629436111989	GO:0005737: cytoplasm & GO:0016020: membrane
ACBD5	BRCA	4	4	2	0	1	0	0	0	0	1	0	1.6094379124341	GO:0016020: membrane & GO:0005654: nucleoplasm
ACBD6	BRCA	1	1	0	0	1	0	0	0	0	0	0	0.693147180559945	GO:0005634: nucleus & GO:0005737: cytoplasm
ACCS	BRCA	2	2	2	0	0	0	0	0	0	0	0	1.09861228866811	NA
ACCSL	BRCA	8	8	6	1	0	1	0	0	0	0	0	2.19722457733622	NA
ACD	BRCA	1	1	1	0	0	0	0	0	0	0	0	0.693147180559945	GO:0070187: shelterin complex & GO:0000781: chromosome, telomeric region
ACE	BRCA	11	11	9	1	0	1	0	0	0	0	0	2.484906649788	GO:0005737: cytoplasm & GO:0005576: extracellular region
ACE2	BRCA	3	3	1	0	2	0	0	0	0	0	0	1.38629436111989	GO:0016020: membrane & GO:0005737: cytoplasm
ACER1	BRCA	1	1	1	0	0	0	0	0	0	0	0	0.693147180559945	GO:0016020: membrane & GO:0005783: endoplasmic reticulum
ACER2	BRCA	3	3	3	0	0	0	0	0	0	0	0	1.38629436111989	GO:0016020: membrane & GO:0005794: Golgi apparatus
ACER3	BRCA	6	6	4	0	1	0	0	1	0	0	0	1.94591014905531	GO:0016020: membrane & GO:0016020: membrane
ACHE	BRCA	3	3	3	0	0	0	0	0	0	0	0	1.38629436111989	GO:0005634: nucleus & GO:0005576: extracellular region
ACIN1	BRCA	9	9	8	1	0	0	0	0	0	0	0	2.30258509299405	GO:0005654: nucleoplasm & GO:0005829: cytosol
ACKR2	BRCA	2	2	1	1	0	0	0	0	0	0	0	1.09861228866811	GO:0016020: membrane & GO:0005886: plasma membrane
ACKR3	BRCA	3	3	3	0	0	0	0	0	0	0	0	1.38629436111989	GO:0016020: membrane & GO:0005886: plasma membrane
ACKR4	BRCA	3	3	2	1	0	0	0	0	0	0	0	1.38629436111989	GO:0016020: membrane & GO:0005886: plasma membrane
ACLY	BRCA	10	12	7	1	1	1	0	0	0	0	0	2.87747432735804	GO:0005737: cytoplasm & GO:0005654: nucleoplasm
ACN9	BRCA	1	1	1	0	0	0	0	0	0	0	0	0.693147180559945	NA
ACO1	BRCA	2	2	1	0	1	0	0	0	0	0	0	1.09861228866811	GO:0005737: cytoplasm & GO:0005829: cytosol
ACO2	BRCA	7	8	6	1	0	0	0	0	0	0	0	2.37650461906267	GO:0005739: mitochondrion & GO:0005759: mitochondrial matrix
ACOT1	BRCA	3	3	2	1	0	0	0	0	0	0	0	1.38629436111989	GO:0005737: cytoplasm & GO:0005829: cytosol
ACOT11	BRCA	7	7	4	2	1	0	0	0	0	0	0	2.07944154167984	GO:0005737: cytoplasm & GO:0005737: cytoplasm
ACOT12	BRCA	2	2	2	0	0	0	0	0	0	0	0	1.09861228866811	GO:0005737: cytoplasm & GO:0005654: nucleoplasm
ACOT13	BRCA	1	1	1	0	0	0	0	0	0	0	0	0.693147180559945	GO:0005634: nucleus & GO:0005737: cytoplasm
ACOT4	BRCA	3	3	3	0	0	0	0	0	0	0	0	1.38629436111989	GO:0005777: peroxisome & GO:0005777: peroxisome
ACOT7	BRCA	2	3	1	1	0	0	0	0	0	0	0	1.64791843300216	GO:0005737: cytoplasm & GO:0005654: nucleoplasm
ACOT8	BRCA	3	3	2	0	1	0	0	0	0	0	0	1.38629436111989	GO:0005777: peroxisome & GO:0005782: peroxisomal matrix
ACOT9	BRCA	5	5	4	1	0	0	0	0	0	0	0	1.79175946922805	GO:0005739: mitochondrion & GO:0005759: mitochondrial matrix
ACOX1	BRCA	4	5	4	0	0	0	0	0	0	0	0	2.01179739054263	GO:0005777: peroxisome & GO:0005777: peroxisome
ACOX2	BRCA	4	4	3	1	0	0	0	0	0	0	0	1.6094379124341	GO:0005777: peroxisome & GO:0005829: cytosol
ACOX3	BRCA	6	6	6	0	0	0	0	0	0	0	0	1.94591014905531	GO:0005777: peroxisome & GO:0005777: peroxisome
ACOXL	BRCA	8	8	7	1	0	0	0	0	0	0	0	2.19722457733622	GO:0005777: peroxisome & GO:0005782: peroxisomal matrix
ACP1	BRCA	1	1	0	1	0	0	0	0	0	0	0	0.693147180559945	GO:0005737: cytoplasm & GO:0005737: cytoplasm
ACP2	BRCA	1	1	0	0	1	0	0	0	0	0	0	0.693147180559945	GO:0016020: membrane & GO:0005764: lysosome
ACP5	BRCA	4	4	4	0	0	0	0	0	0	0	0	1.6094379124341	GO:0005764: lysosome & GO:0005829: cytosol
ACP6	BRCA	5	5	3	2	0	0	0	0	0	0	0	1.79175946922805	GO:0005739: mitochondrion & GO:0005739: mitochondrion
ACPL2	BRCA	6	6	3	2	1	0	0	0	0	0	0	1.94591014905531	NA
ACPP	BRCA	9	9	9	0	0	0	0	0	0	0	0	2.30258509299405	NA
ACPT	BRCA	1	1	1	0	0	0	0	0	0	0	0	0.693147180559945	NA
ACR	BRCA	4	4	2	2	0	0	0	0	0	0	0	1.6094379124341	GO:0001669: acrosomal vesicle & GO:0005576: extracellular region
ACRBP	BRCA	8	8	6	1	1	0	0	0	0	0	0	2.19722457733622	GO:0005576: extracellular region & GO:0001669: acrosomal vesicle
ACRC	BRCA	7	8	6	0	0	1	0	0	0	0	0	2.37650461906267	NA
ACRV1	BRCA	2	2	1	0	1	0	0	0	0	0	0	1.09861228866811	GO:0001669: acrosomal vesicle & GO:0031410: cytoplasmic vesicle
ACSBG1	BRCA	8	8	7	0	0	1	0	0	0	0	0	2.19722457733622	GO:0005737: cytoplasm & GO:0005886: plasma membrane
ACSBG2	BRCA	5	8	5	0	0	0	0	0	0	0	0	2.86681515076489	GO:0005737: cytoplasm & GO:0016020: membrane
ACSF2	BRCA	4	4	3	0	0	1	0	0	0	0	0	1.6094379124341	GO:0005739: mitochondrion & GO:0005759: mitochondrial matrix
ACSF3	BRCA	4	4	4	0	0	0	0	0	0	0	0	1.6094379124341	GO:0005739: mitochondrion & GO:0005654: nucleoplasm
ACSL1	BRCA	3	4	1	0	1	1	0	0	0	0	0	1.84839248149319	GO:0005783: endoplasmic reticulum & GO:0005783: endoplasmic reticulum
ACSL3	BRCA	4	4	2	2	0	0	0	0	0	0	0	1.6094379124341	GO:0005783: endoplasmic reticulum & GO:0005783: endoplasmic reticulum
ACSL4	BRCA	7	7	7	0	0	0	0	0	0	0	0	2.07944154167984	GO:0005737: cytoplasm & GO:0005886: plasma membrane
ACSL5	BRCA	6	7	4	1	0	1	0	0	0	0	0	2.2702285072312	GO:0005886: plasma membrane & GO:0005886: plasma membrane
ACSL6	BRCA	4	4	4	0	0	0	0	0	0	0	0	1.6094379124341	GO:0016020: membrane & GO:0005783: endoplasmic reticulum
ACSM1	BRCA	1	1	1	0	0	0	0	0	0	0	0	0.693147180559945	GO:0005739: mitochondrion & GO:0005759: mitochondrial matrix
ACSM2A	BRCA	5	5	5	0	0	0	0	0	0	0	0	1.79175946922805	GO:0005739: mitochondrion
ACSM2B	BRCA	7	7	5	1	1	0	0	0	0	0	0	2.07944154167984	GO:0005739: mitochondrion & GO:0005739: mitochondrion
ACSM3	BRCA	4	4	4	0	0	0	0	0	0	0	0	1.6094379124341	GO:0005739: mitochondrion & GO:0005739: mitochondrion
ACSM4	BRCA	5	6	3	1	1	0	0	0	0	0	0	2.15011136307367	GO:0005739: mitochondrion
ACSM5	BRCA	6	6	4	0	1	1	0	0	0	0	0	1.94591014905531	GO:0005739: mitochondrion & GO:0005759: mitochondrial matrix
ACSS1	BRCA	2	2	1	1	0	0	0	0	0	0	0	1.09861228866811	GO:0005739: mitochondrion & GO:0005759: mitochondrial matrix
ACSS2	BRCA	2	2	2	0	0	0	0	0	0	0	0	1.09861228866811	GO:0005634: nucleus & GO:0005634: nucleus
ACSS3	BRCA	11	11	8	2	0	1	0	0	0	0	0	2.484906649788	GO:0005739: mitochondrion & GO:0005739: mitochondrion
ACTA1	BRCA	2	2	2	0	0	0	0	0	0	0	0	1.09861228866811	GO:0005737: cytoplasm & GO:0005856: cytoskeleton
ACTA2	BRCA	5	5	5	0	0	0	0	0	0	0	0	1.79175946922805	GO:0005737: cytoplasm & GO:0005615: extracellular space
ACTB	BRCA	7	7	6	0	0	1	0	0	0	0	0	2.07944154167984	GO:0005634: nucleus & GO:0005634: nucleus
ACTBL2	BRCA	4	5	4	0	0	0	0	0	0	0	0	2.01179739054263	GO:0005737: cytoplasm & GO:0005856: cytoskeleton
ACTG1	BRCA	8	8	6	1	0	0	0	0	1	0	0	2.19722457733622	GO:0005737: cytoplasm & GO:0005856: cytoskeleton
ACTG2	BRCA	7	7	5	1	0	1	0	0	0	0	0	2.07944154167984	GO:0005737: cytoplasm & GO:0005856: cytoskeleton
ACTL6A	BRCA	2	2	1	0	1	0	0	0	0	0	0	1.09861228866811	GO:0005634: nucleus & GO:0005634: nucleus
ACTL6B	BRCA	6	6	2	2	1	0	0	1	0	0	0	1.94591014905531	GO:0005634: nucleus & GO:0005634: nucleus
ACTL7A	BRCA	2	2	2	0	0	0	0	0	0	0	0	1.09861228866811	GO:0005634: nucleus & GO:0005737: cytoplasm
ACTL7B	BRCA	2	2	2	0	0	0	0	0	0	0	0	1.09861228866811	GO:0005737: cytoplasm & GO:0005856: cytoskeleton
