Hugo_Symbol,project_id,altered,total,Missense_Mutation,Frame_Shift_Del,Nonsense_Mutation,Splice_Site,In_Frame_Del,Frame_Shift_Ins,Translation_Start_Site,Nonstop_Mutation,In_Frame_Ins,log_difference,GO_Cellular_Component
AAMP,TCGA-BRCA,1,1,0,1,0,0,0,0,0,0,0,0.693147180559945,GO:0005737: cytoplasm | GO:0005886: plasma membrane
AANAT,TCGA-BRCA,1,1,0,0,0,0,0,0,0,1,0,0.693147180559945,GO:0005737: cytoplasm | GO:0005829: cytosol
AAR2,TCGA-BRCA,1,1,1,0,0,0,0,0,0,0,0,0.693147180559945,GO:0005681: spliceosomal complex
AARS,TCGA-BRCA,12,12,9,1,1,1,0,0,0,0,0,2.56494935746154,NA
AARS2,TCGA-BRCA,5,5,5,0,0,0,0,0,0,0,0,1.79175946922805,GO:0005737: cytoplasm | GO:0005739: mitochondrion
AARSD1,TCGA-BRCA,3,3,2,1,0,0,0,0,0,0,0,1.38629436111989,GO:0005737: cytoplasm
AASDH,TCGA-BRCA,8,8,5,3,0,0,0,0,0,0,0,2.19722457733622,NA
AASDHPPT,TCGA-BRCA,5,5,4,1,0,0,0,0,0,0,0,1.79175946922805,GO:0005737: cytoplasm | GO:0005829: cytosol
AASS,TCGA-BRCA,7,7,3,2,2,0,0,0,0,0,0,2.07944154167984,GO:0005739: mitochondrion | GO:0005739: mitochondrion
AATF,TCGA-BRCA,2,3,2,0,0,0,0,0,0,0,0,1.64791843300216,GO:0005634: nucleus | GO:0005634: nucleus
AATK,TCGA-BRCA,7,7,6,0,0,0,1,0,0,0,0,2.07944154167984,GO:0005737: cytoplasm | GO:0016020: membrane
ABAT,TCGA-BRCA,5,5,4,0,1,0,0,0,0,0,0,1.79175946922805,GO:0005739: mitochondrion | GO:0005739: mitochondrion
ABCA1,TCGA-BRCA,11,14,7,4,0,0,0,0,0,0,0,3.16260846336655,GO:0016020: membrane | GO:0005886: plasma membrane
ABCA10,TCGA-BRCA,12,14,8,0,2,2,0,0,0,0,0,2.99244091703846,GO:0016020: membrane
ABCA12,TCGA-BRCA,17,18,13,3,0,1,0,0,0,0,0,3.0603936260077,GO:0016020: membrane | GO:0005737: cytoplasm
ABCA13,TCGA-BRCA,42,48,34,1,5,1,0,1,0,0,0,4.2985144179355,GO:0016020: membrane | GO:0005886: plasma membrane
ABCA2,TCGA-BRCA,4,4,4,0,0,0,0,0,0,0,0,1.6094379124341,GO:0016020: membrane | GO:0016020: membrane
ABCA3,TCGA-BRCA,13,16,11,2,0,0,0,0,0,0,0,3.24807055952647,GO:0016020: membrane | GO:0005768: endosome
ABCA4,TCGA-BRCA,12,16,11,1,0,0,0,0,0,0,0,3.41993247661538,GO:0016020: membrane | GO:0005886: plasma membrane
ABCA5,TCGA-BRCA,12,14,11,1,0,0,0,0,0,0,0,2.99244091703846,GO:0016020: membrane | GO:0005886: plasma membrane
ABCA6,TCGA-BRCA,14,15,10,0,2,2,0,0,0,0,0,2.9014823583238,GO:0016020: membrane | GO:0005654: nucleoplasm
ABCA7,TCGA-BRCA,14,14,8,4,1,0,1,0,0,0,0,2.70805020110221,GO:0016020: membrane | GO:0005737: cytoplasm
ABCA8,TCGA-BRCA,23,26,19,2,0,2,0,0,0,0,0,3.59258259082811,GO:0016020: membrane | GO:0005886: plasma membrane
ABCA9,TCGA-BRCA,17,18,15,1,0,1,0,0,0,0,0,3.0603936260077,GO:0016020: membrane
ABCB1,TCGA-BRCA,10,10,8,2,0,0,0,0,0,0,0,2.39789527279837,GO:0016020: membrane | GO:0005737: cytoplasm
ABCB10,TCGA-BRCA,9,10,7,1,1,0,0,0,0,0,0,2.5584278811045,GO:0016020: membrane | GO:0005739: mitochondrion
ABCB11,TCGA-BRCA,15,18,10,1,4,0,0,0,0,0,0,3.32710646668774,GO:0016020: membrane | GO:0005886: plasma membrane
ABCB4,TCGA-BRCA,15,17,9,2,3,0,1,0,0,0,0,3.14226721853842,GO:0016020: membrane | GO:0005737: cytoplasm
ABCB5,TCGA-BRCA,9,10,8,1,0,0,0,0,0,0,0,2.5584278811045,GO:0016020: membrane | GO:0005886: plasma membrane
ABCB6,TCGA-BRCA,8,8,6,1,1,0,0,0,0,0,0,2.19722457733622,GO:0016020: membrane | GO:0005576: extracellular region
ABCB7,TCGA-BRCA,7,7,7,0,0,0,0,0,0,0,0,2.07944154167984,GO:0016020: membrane | GO:0005739: mitochondrion
ABCB8,TCGA-BRCA,9,9,9,0,0,0,0,0,0,0,0,2.30258509299405,GO:0016020: membrane | GO:0005654: nucleoplasm
ABCB9,TCGA-BRCA,2,2,2,0,0,0,0,0,0,0,0,1.09861228866811,GO:0016020: membrane | GO:0005765: lysosomal membrane
ABCC1,TCGA-BRCA,10,11,7,2,1,0,0,0,0,0,0,2.63768480007821,GO:0016020: membrane | GO:0005886: plasma membrane
ABCC10,TCGA-BRCA,12,13,11,1,0,0,0,0,0,0,0,2.77869513725,GO:0016020: membrane | GO:0005886: plasma membrane
ABCC11,TCGA-BRCA,7,7,7,0,0,0,0,0,0,0,0,2.07944154167984,GO:0016020: membrane | GO:0005886: plasma membrane
ABCC12,TCGA-BRCA,12,12,11,1,0,0,0,0,0,0,0,2.56494935746154,GO:0016020: membrane | GO:0005783: endoplasmic reticulum
ABCC2,TCGA-BRCA,8,10,8,0,0,0,0,0,0,0,0,2.74653072167027,GO:0016020: membrane | GO:0005886: plasma membrane
ABCC3,TCGA-BRCA,9,9,7,2,0,0,0,0,0,0,0,2.30258509299405,GO:0016020: membrane | GO:0005886: plasma membrane
ABCC4,TCGA-BRCA,12,12,11,1,0,0,0,0,0,0,0,2.56494935746154,GO:0016020: membrane | GO:0005886: plasma membrane
ABCC5,TCGA-BRCA,11,12,8,1,1,1,0,0,0,0,0,2.71080725431418,GO:0016020: membrane | GO:0005886: plasma membrane
ABCC6,TCGA-BRCA,6,6,5,1,0,0,0,0,0,0,0,1.94591014905531,GO:0016020: membrane | GO:0005886: plasma membrane
ABCC8,TCGA-BRCA,13,14,11,1,0,1,0,0,0,0,0,2.84206173958566,GO:0016020: membrane | GO:0005886: plasma membrane
ABCC9,TCGA-BRCA,19,19,15,2,0,1,0,1,0,0,0,2.99573227355399,GO:0016020: membrane | GO:0005886: plasma membrane
ABCD1,TCGA-BRCA,4,4,2,1,1,0,0,0,0,0,0,1.6094379124341,GO:0016020: membrane | GO:0005777: peroxisome
ABCD2,TCGA-BRCA,4,4,3,0,1,0,0,0,0,0,0,1.6094379124341,GO:0016020: membrane | GO:0005777: peroxisome
ABCD3,TCGA-BRCA,6,6,5,0,0,1,0,0,0,0,0,1.94591014905531,GO:0016020: membrane | GO:0005777: peroxisome
ABCD4,TCGA-BRCA,1,1,0,0,0,1,0,0,0,0,0,0.693147180559945,GO:0016020: membrane | GO:0005783: endoplasmic reticulum
ABCE1,TCGA-BRCA,7,7,6,0,1,0,0,0,0,0,0,2.07944154167984,GO:0005737: cytoplasm | GO:0005737: cytoplasm
ABCF1,TCGA-BRCA,7,8,7,0,0,0,0,0,0,0,0,2.37650461906267,GO:0005634: nucleus | GO:0005737: cytoplasm
ABCF2,TCGA-BRCA,6,6,5,0,0,0,0,1,0,0,0,1.94591014905531,GO:0005886: plasma membrane
ABCF3,TCGA-BRCA,5,5,5,0,0,0,0,0,0,0,0,1.79175946922805,NA
ABCG1,TCGA-BRCA,5,5,5,0,0,0,0,0,0,0,0,1.79175946922805,GO:0016020: membrane | GO:0005886: plasma membrane
ABCG2,TCGA-BRCA,4,4,2,1,0,1,0,0,0,0,0,1.6094379124341,GO:0016020: membrane | GO:0005886: plasma membrane
ABCG4,TCGA-BRCA,2,2,2,0,0,0,0,0,0,0,0,1.09861228866811,GO:0016020: membrane | GO:0005886: plasma membrane
ABCG5,TCGA-BRCA,4,4,4,0,0,0,0,0,0,0,0,1.6094379124341,GO:0016020: membrane | GO:0005886: plasma membrane
ABCG8,TCGA-BRCA,4,4,4,0,0,0,0,0,0,0,0,1.6094379124341,GO:0016020: membrane | GO:0005886: plasma membrane
ABHD1,TCGA-BRCA,2,2,1,1,0,0,0,0,0,0,0,1.09861228866811,GO:0016020: membrane
ABHD11,TCGA-BRCA,1,1,1,0,0,0,0,0,0,0,0,0.693147180559945,GO:0005739: mitochondrion | GO:0005739: mitochondrion
ABHD12,TCGA-BRCA,2,3,1,0,0,1,0,0,0,0,0,1.64791843300216,GO:0016020: membrane | GO:0005783: endoplasmic reticulum
ABHD13,TCGA-BRCA,5,5,5,0,0,0,0,0,0,0,0,1.79175946922805,GO:0016020: membrane | GO:0005737: cytoplasm
ABHD14A,TCGA-BRCA,1,1,1,0,0,0,0,0,0,0,0,0.693147180559945,GO:0005737: cytoplasm | GO:0016020: membrane
ABHD15,TCGA-BRCA,4,4,4,0,0,0,0,0,0,0,0,1.6094379124341,GO:0005576: extracellular region
ABHD16A,TCGA-BRCA,5,5,3,2,0,0,0,0,0,0,0,1.79175946922805,GO:0016020: membrane
ABHD16B,TCGA-BRCA,2,2,2,0,0,0,0,0,0,0,0,1.09861228866811,GO:0005654: nucleoplasm
ABHD17A,TCGA-BRCA,2,2,2,0,0,0,0,0,0,0,0,1.09861228866811,GO:0016607: nuclear speck | GO:0005886: plasma membrane
ABHD17C,TCGA-BRCA,1,1,1,0,0,0,0,0,0,0,0,0.693147180559945,GO:0005886: plasma membrane | GO:0042995: cell projection
ABHD2,TCGA-BRCA,5,5,5,0,0,0,0,0,0,0,0,1.79175946922805,GO:0005886: plasma membrane | GO:0016020: membrane
ABHD3,TCGA-BRCA,2,2,1,0,1,0,0,0,0,0,0,1.09861228866811,GO:0016020: membrane | GO:0005886: plasma membrane
ABHD4,TCGA-BRCA,3,3,2,0,0,1,0,0,0,0,0,1.38629436111989,GO:0005789: endoplasmic reticulum membrane
ABHD6,TCGA-BRCA,4,4,2,1,0,0,1,0,0,0,0,1.6094379124341,GO:0016020: membrane | GO:0005739: mitochondrion
ABHD8,TCGA-BRCA,1,1,1,0,0,0,0,0,0,0,0,0.693147180559945,NA
ABI1,TCGA-BRCA,4,4,4,0,0,0,0,0,0,0,0,1.6094379124341,GO:0005634: nucleus | GO:0005737: cytoplasm
ABI2,TCGA-BRCA,5,5,5,0,0,0,0,0,0,0,0,1.79175946922805,GO:0005634: nucleus | GO:0005737: cytoplasm
ABI3,TCGA-BRCA,1,1,1,0,0,0,0,0,0,0,0,0.693147180559945,GO:0005737: cytoplasm | GO:0005737: cytoplasm
ABI3BP,TCGA-BRCA,13,14,10,2,1,0,0,0,0,0,0,2.84206173958566,GO:0005614: interstitial matrix | GO:0031012: extracellular matrix
ABL1,TCGA-BRCA,8,8,4,2,0,1,0,1,0,0,0,2.19722457733622,GO:0005634: nucleus | GO:0005634: nucleus
ABL2,TCGA-BRCA,11,12,9,2,0,0,0,0,0,0,0,2.71080725431418,GO:0005737: cytoplasm | GO:0005856: cytoskeleton
ABLIM1,TCGA-BRCA,6,6,4,1,1,0,0,0,0,0,0,1.94591014905531,GO:0005737: cytoplasm | GO:0005856: cytoskeleton
ABLIM2,TCGA-BRCA,3,4,3,0,0,0,0,0,0,0,0,1.84839248149319,GO:0005737: cytoplasm | GO:0015629: actin cytoskeleton
ABLIM3,TCGA-BRCA,6,6,4,1,1,0,0,0,0,0,0,1.94591014905531,GO:0005737: cytoplasm | GO:0001725: stress fiber
ABR,TCGA-BRCA,9,10,6,2,0,1,0,0,0,0,0,2.5584278811045,GO:0042995: cell projection | GO:0030424: axon
ABRA,TCGA-BRCA,5,5,5,0,0,0,0,0,0,0,0,1.79175946922805,GO:0005737: cytoplasm | GO:0005856: cytoskeleton
ABT1,TCGA-BRCA,5,5,4,0,1,0,0,0,0,0,0,1.79175946922805,GO:0005634: nucleus | GO:0005730: nucleolus
ABTB1,TCGA-BRCA,2,3,0,1,0,0,1,0,0,0,0,1.64791843300216,GO:0005737: cytoplasm | GO:0005829: cytosol
ABTB2,TCGA-BRCA,8,8,5,0,2,1,0,0,0,0,0,2.19722457733622,NA
AC002310.13,TCGA-BRCA,1,1,0,0,1,0,0,0,0,0,0,0.693147180559945,NA
AC002472.13,TCGA-BRCA,1,1,1,0,0,0,0,0,0,0,0,0.693147180559945,NA
AC003002.6,TCGA-BRCA,3,3,3,0,0,0,0,0,0,0,0,1.38629436111989,NA
AC004076.7,TCGA-BRCA,1,1,0,0,1,0,0,0,0,0,0,0.693147180559945,NA
AC004381.6,TCGA-BRCA,7,8,4,1,2,0,0,0,0,0,0,2.37650461906267,NA
AC005549.3,TCGA-BRCA,1,1,1,0,0,0,0,0,0,0,0,0.693147180559945,NA
AC005609.1,TCGA-BRCA,1,1,1,0,0,0,0,0,0,0,0,0.693147180559945,NA
AC006486.9,TCGA-BRCA,5,5,4,0,1,0,0,0,0,0,0,1.79175946922805,NA
AC008060.7,TCGA-BRCA,1,1,1,0,0,0,0,0,0,0,0,0.693147180559945,NA
AC008132.13,TCGA-BRCA,1,1,1,0,0,0,0,0,0,0,0,0.693147180559945,NA
AC008271.1,TCGA-BRCA,1,1,1,0,0,0,0,0,0,0,0,0.693147180559945,NA
AC009365.3,TCGA-BRCA,2,2,2,0,0,0,0,0,0,0,0,1.09861228866811,NA
AC010441.1,TCGA-BRCA,1,1,1,0,0,0,0,0,0,0,0,0.693147180559945,NA
AC011530.4,TCGA-BRCA,1,1,1,0,0,0,0,0,0,0,0,0.693147180559945,NA
AC018755.1,TCGA-BRCA,1,1,1,0,0,0,0,0,0,0,0,0.693147180559945,NA
AC022400.2,TCGA-BRCA,4,4,4,0,0,0,0,0,0,0,0,1.6094379124341,NA
AC026310.1,TCGA-BRCA,1,1,1,0,0,0,0,0,0,0,0,0.693147180559945,NA
AC026703.1,TCGA-BRCA,1,1,0,0,1,0,0,0,0,0,0,0.693147180559945,NA
AC040160.1,TCGA-BRCA,1,1,1,0,0,0,0,0,0,0,0,0.693147180559945,NA
AC040977.1,TCGA-BRCA,1,1,1,0,0,0,0,0,0,0,0,0.693147180559945,NA
AC068987.1,TCGA-BRCA,1,1,0,0,0,0,0,1,0,0,0,0.693147180559945,NA
AC079354.1,TCGA-BRCA,1,1,1,0,0,0,0,0,0,0,0,0.693147180559945,NA
AC079612.1,TCGA-BRCA,2,2,2,0,0,0,0,0,0,0,0,1.09861228866811,NA
AC104534.3,TCGA-BRCA,1,1,1,0,0,0,0,0,0,0,0,0.693147180559945,NA
AC117834.1,TCGA-BRCA,1,1,1,0,0,0,0,0,0,0,0,0.693147180559945,NA
AC129492.6,TCGA-BRCA,1,1,1,0,0,0,0,0,0,0,0,0.693147180559945,NA
AC135048.1,TCGA-BRCA,1,1,1,0,0,0,0,0,0,0,0,0.693147180559945,NA
AC136604.1,TCGA-BRCA,4,4,3,0,1,0,0,0,0,0,0,1.6094379124341,NA
AC140481.2,TCGA-BRCA,1,1,1,0,0,0,0,0,0,0,0,0.693147180559945,NA
AC142381.1,TCGA-BRCA,1,1,1,0,0,0,0,0,0,0,0,0.693147180559945,NA
ACAA1,TCGA-BRCA,1,1,0,1,0,0,0,0,0,0,0,0.693147180559945,GO:0005777: peroxisome | GO:0005777: peroxisome
ACAA2,TCGA-BRCA,4,4,3,0,1,0,0,0,0,0,0,1.6094379124341,GO:0005739: mitochondrion | GO:0005739: mitochondrion
ACACA,TCGA-BRCA,16,17,14,0,2,0,0,0,0,0,0,3.01028917805973,GO:0005737: cytoplasm | GO:0001650: fibrillar center
ACACB,TCGA-BRCA,12,13,11,0,0,1,0,0,0,0,0,2.77869513725,GO:0005634: nucleus | GO:0005739: mitochondrion
ACAD10,TCGA-BRCA,8,8,8,0,0,0,0,0,0,0,0,2.19722457733622,GO:0005739: mitochondrion | GO:0005759: mitochondrial matrix
ACAD11,TCGA-BRCA,7,7,7,0,0,0,0,0,0,0,0,2.07944154167984,GO:0005634: nucleus | GO:0016020: membrane
ACAD8,TCGA-BRCA,2,2,1,0,1,0,0,0,0,0,0,1.09861228866811,GO:0005739: mitochondrion | GO:0005759: mitochondrial matrix
ACAD9,TCGA-BRCA,5,5,5,0,0,0,0,0,0,0,0,1.79175946922805,GO:0005739: mitochondrion | GO:0005743: mitochondrial inner membrane
ACADL,TCGA-BRCA,3,4,3,0,0,0,0,0,0,0,0,1.84839248149319,GO:0005739: mitochondrion | GO:0005759: mitochondrial matrix
ACADS,TCGA-BRCA,1,1,1,0,0,0,0,0,0,0,0,0.693147180559945,GO:0005654: nucleoplasm | GO:0005739: mitochondrion
ACADSB,TCGA-BRCA,6,6,5,1,0,0,0,0,0,0,0,1.94591014905531,GO:0005739: mitochondrion | GO:0005739: mitochondrion
ACADVL,TCGA-BRCA,3,3,3,0,0,0,0,0,0,0,0,1.38629436111989,GO:0005654: nucleoplasm | GO:0005739: mitochondrion
ACAN,TCGA-BRCA,11,11,7,2,1,1,0,0,0,0,0,2.484906649788,GO:0005576: extracellular region | GO:0012505: endomembrane system
ACAP1,TCGA-BRCA,4,4,4,0,0,0,0,0,0,0,0,1.6094379124341,GO:0005737: cytoplasm | GO:0016020: membrane
ACAP2,TCGA-BRCA,4,4,1,2,1,0,0,0,0,0,0,1.6094379124341,GO:0005737: cytoplasm | GO:0016020: membrane
ACAP3,TCGA-BRCA,4,5,4,0,0,0,0,0,0,0,0,2.01179739054263,GO:0005737: cytoplasm | GO:0030426: growth cone
ACAT1,TCGA-BRCA,4,4,3,1,0,0,0,0,0,0,0,1.6094379124341,GO:0005739: mitochondrion | GO:0005739: mitochondrion
ACBD3,TCGA-BRCA,6,6,5,1,0,0,0,0,0,0,0,1.94591014905531,GO:0016020: membrane | GO:0005794: Golgi apparatus
ACBD4,TCGA-BRCA,3,3,3,0,0,0,0,0,0,0,0,1.38629436111989,GO:0005737: cytoplasm | GO:0016020: membrane
ACBD5,TCGA-BRCA,4,4,2,0,1,0,0,0,0,1,0,1.6094379124341,GO:0016020: membrane | GO:0005654: nucleoplasm
ACBD6,TCGA-BRCA,1,1,0,0,1,0,0,0,0,0,0,0.693147180559945,GO:0005634: nucleus | GO:0005737: cytoplasm
ACCS,TCGA-BRCA,2,2,2,0,0,0,0,0,0,0,0,1.09861228866811,NA
ACCSL,TCGA-BRCA,8,8,6,1,0,1,0,0,0,0,0,2.19722457733622,NA
ACD,TCGA-BRCA,1,1,1,0,0,0,0,0,0,0,0,0.693147180559945,"GO:0070187: shelterin complex | GO:0000781: chromosome, telomeric region"
ACE,TCGA-BRCA,11,11,9,1,0,1,0,0,0,0,0,2.484906649788,GO:0005737: cytoplasm | GO:0005576: extracellular region
ACE2,TCGA-BRCA,3,3,1,0,2,0,0,0,0,0,0,1.38629436111989,GO:0016020: membrane | GO:0005737: cytoplasm
ACER1,TCGA-BRCA,1,1,1,0,0,0,0,0,0,0,0,0.693147180559945,GO:0016020: membrane | GO:0005783: endoplasmic reticulum
ACER2,TCGA-BRCA,3,3,3,0,0,0,0,0,0,0,0,1.38629436111989,GO:0016020: membrane | GO:0005794: Golgi apparatus
ACER3,TCGA-BRCA,6,6,4,0,1,0,0,1,0,0,0,1.94591014905531,GO:0016020: membrane | GO:0016020: membrane
ACHE,TCGA-BRCA,3,3,3,0,0,0,0,0,0,0,0,1.38629436111989,GO:0005634: nucleus | GO:0005576: extracellular region
ACIN1,TCGA-BRCA,9,9,8,1,0,0,0,0,0,0,0,2.30258509299405,GO:0005654: nucleoplasm | GO:0005829: cytosol
ACKR2,TCGA-BRCA,2,2,1,1,0,0,0,0,0,0,0,1.09861228866811,GO:0016020: membrane | GO:0005886: plasma membrane
ACKR3,TCGA-BRCA,3,3,3,0,0,0,0,0,0,0,0,1.38629436111989,GO:0016020: membrane | GO:0005886: plasma membrane
ACKR4,TCGA-BRCA,3,3,2,1,0,0,0,0,0,0,0,1.38629436111989,GO:0016020: membrane | GO:0005886: plasma membrane
ACLY,TCGA-BRCA,10,12,7,1,1,1,0,0,0,0,0,2.87747432735804,GO:0005737: cytoplasm | GO:0005654: nucleoplasm
ACN9,TCGA-BRCA,1,1,1,0,0,0,0,0,0,0,0,0.693147180559945,NA
ACO1,TCGA-BRCA,2,2,1,0,1,0,0,0,0,0,0,1.09861228866811,GO:0005737: cytoplasm | GO:0005829: cytosol
ACO2,TCGA-BRCA,7,8,6,1,0,0,0,0,0,0,0,2.37650461906267,GO:0005739: mitochondrion | GO:0005759: mitochondrial matrix
ACOT1,TCGA-BRCA,3,3,2,1,0,0,0,0,0,0,0,1.38629436111989,GO:0005737: cytoplasm | GO:0005829: cytosol
ACOT11,TCGA-BRCA,7,7,4,2,1,0,0,0,0,0,0,2.07944154167984,GO:0005737: cytoplasm | GO:0005737: cytoplasm
ACOT12,TCGA-BRCA,2,2,2,0,0,0,0,0,0,0,0,1.09861228866811,GO:0005737: cytoplasm | GO:0005654: nucleoplasm
ACOT13,TCGA-BRCA,1,1,1,0,0,0,0,0,0,0,0,0.693147180559945,GO:0005634: nucleus | GO:0005737: cytoplasm
ACOT4,TCGA-BRCA,3,3,3,0,0,0,0,0,0,0,0,1.38629436111989,GO:0005777: peroxisome | GO:0005777: peroxisome
ACOT7,TCGA-BRCA,2,3,1,1,0,0,0,0,0,0,0,1.64791843300216,GO:0005737: cytoplasm | GO:0005654: nucleoplasm
ACOT8,TCGA-BRCA,3,3,2,0,1,0,0,0,0,0,0,1.38629436111989,GO:0005777: peroxisome | GO:0005782: peroxisomal matrix
ACOT9,TCGA-BRCA,5,5,4,1,0,0,0,0,0,0,0,1.79175946922805,GO:0005739: mitochondrion | GO:0005759: mitochondrial matrix
ACOX1,TCGA-BRCA,4,5,4,0,0,0,0,0,0,0,0,2.01179739054263,GO:0005777: peroxisome | GO:0005777: peroxisome
ACOX2,TCGA-BRCA,4,4,3,1,0,0,0,0,0,0,0,1.6094379124341,GO:0005777: peroxisome | GO:0005829: cytosol
ACOX3,TCGA-BRCA,6,6,6,0,0,0,0,0,0,0,0,1.94591014905531,GO:0005777: peroxisome | GO:0005777: peroxisome
ACOXL,TCGA-BRCA,8,8,7,1,0,0,0,0,0,0,0,2.19722457733622,GO:0005777: peroxisome | GO:0005782: peroxisomal matrix
ACP1,TCGA-BRCA,1,1,0,1,0,0,0,0,0,0,0,0.693147180559945,GO:0005737: cytoplasm | GO:0005737: cytoplasm
ACP2,TCGA-BRCA,1,1,0,0,1,0,0,0,0,0,0,0.693147180559945,GO:0016020: membrane | GO:0005764: lysosome
ACP5,TCGA-BRCA,4,4,4,0,0,0,0,0,0,0,0,1.6094379124341,GO:0005764: lysosome | GO:0005829: cytosol
ACP6,TCGA-BRCA,5,5,3,2,0,0,0,0,0,0,0,1.79175946922805,GO:0005739: mitochondrion | GO:0005739: mitochondrion
ACPL2,TCGA-BRCA,6,6,3,2,1,0,0,0,0,0,0,1.94591014905531,NA
ACPP,TCGA-BRCA,9,9,9,0,0,0,0,0,0,0,0,2.30258509299405,NA
ACPT,TCGA-BRCA,1,1,1,0,0,0,0,0,0,0,0,0.693147180559945,NA
ACR,TCGA-BRCA,4,4,2,2,0,0,0,0,0,0,0,1.6094379124341,GO:0001669: acrosomal vesicle | GO:0005576: extracellular region
ACRBP,TCGA-BRCA,8,8,6,1,1,0,0,0,0,0,0,2.19722457733622,GO:0005576: extracellular region | GO:0001669: acrosomal vesicle
ACRC,TCGA-BRCA,7,8,6,0,0,1,0,0,0,0,0,2.37650461906267,NA
ACRV1,TCGA-BRCA,2,2,1,0,1,0,0,0,0,0,0,1.09861228866811,GO:0001669: acrosomal vesicle | GO:0031410: cytoplasmic vesicle
ACSBG1,TCGA-BRCA,8,8,7,0,0,1,0,0,0,0,0,2.19722457733622,GO:0005737: cytoplasm | GO:0005886: plasma membrane
ACSBG2,TCGA-BRCA,5,8,5,0,0,0,0,0,0,0,0,2.86681515076489,GO:0005737: cytoplasm | GO:0016020: membrane
ACSF2,TCGA-BRCA,4,4,3,0,0,1,0,0,0,0,0,1.6094379124341,GO:0005739: mitochondrion | GO:0005759: mitochondrial matrix
ACSF3,TCGA-BRCA,4,4,4,0,0,0,0,0,0,0,0,1.6094379124341,GO:0005739: mitochondrion | GO:0005654: nucleoplasm
ACSL1,TCGA-BRCA,3,4,1,0,1,1,0,0,0,0,0,1.84839248149319,GO:0005783: endoplasmic reticulum | GO:0005783: endoplasmic reticulum
ACSL3,TCGA-BRCA,4,4,2,2,0,0,0,0,0,0,0,1.6094379124341,GO:0005783: endoplasmic reticulum | GO:0005783: endoplasmic reticulum
ACSL4,TCGA-BRCA,7,7,7,0,0,0,0,0,0,0,0,2.07944154167984,GO:0005737: cytoplasm | GO:0005886: plasma membrane
ACSL5,TCGA-BRCA,6,7,4,1,0,1,0,0,0,0,0,2.2702285072312,GO:0005886: plasma membrane | GO:0005886: plasma membrane
ACSL6,TCGA-BRCA,4,4,4,0,0,0,0,0,0,0,0,1.6094379124341,GO:0016020: membrane | GO:0005783: endoplasmic reticulum
ACSM1,TCGA-BRCA,1,1,1,0,0,0,0,0,0,0,0,0.693147180559945,GO:0005739: mitochondrion | GO:0005759: mitochondrial matrix
ACSM2A,TCGA-BRCA,5,5,5,0,0,0,0,0,0,0,0,1.79175946922805,GO:0005739: mitochondrion
ACSM2B,TCGA-BRCA,7,7,5,1,1,0,0,0,0,0,0,2.07944154167984,GO:0005739: mitochondrion | GO:0005739: mitochondrion
ACSM3,TCGA-BRCA,4,4,4,0,0,0,0,0,0,0,0,1.6094379124341,GO:0005739: mitochondrion | GO:0005739: mitochondrion
